"LGA","CountCrash"
"Adelaide",5
"Adelaide Hills",25
"Adelaide Plains",10
"Albany",3
"Albury",5
"Alexandrina",17
"Alice Springs",8
"Alpine",5
"Anangu Pitjantjatjara Yunkunytjatjara",2
"Ararat",5
"Armadale",13
"Armidale Regional",7
"Ashburton",3
"Augusta Margaret River",7
"Ballarat",12
"Ballina",11
"Balonne",3
"Balranald",7
"Banana",12
"Banyule",8
"Barcaldine",1
"Barcoo",1
"Barkly",7
"Barossa",14
"Barunga West",4
"Bass Coast",9
"Bassendean",1
"Bathurst Regional",10
"Baw Baw",14
"Bayside",16
"Bayside (Vic.)",2
"Bayswater",3
"Bega Valley",7
"Bellingen",10
"Belmont",3
"Benalla",5
"Berri Barmera",2
"Berrigan",3
"Beverley",2
"Blacktown",38
"Bland",7
"Blayney",2
"Blue Mountains",10
"Boddington",2
"Bogan",5
"Boroondara",7
"Break O'Day",7
"Brewarrina",5
"Bridgetown-Greenbushes",2
"Brighton",6
"Brimbank",31
"Brisbane",113
"Broken Hill",1
"Brookton",1
"Broome",3
"Broomehill-Tambellup",6
"Bruce Rock",2
"Bulloo",1
"Buloke",7
"Bunbury",4
"Bundaberg",59
"Burdekin",13
"Burke",1
"Burnie",6
"Burnside",1
"Burwood",2
"Busselton",15
"Byron",9
"Cabonne",14
"Cairns",34
"Cambridge",3
"Camden",8
"Campaspe",20
"Campbelltown",18
"Campbelltown (SA)",7
"Canada Bay",3
"Canning",10
"Canterbury-Bankstown",34
"Capel",7
"Cardinia",28
"Carnamah",1
"Carnarvon",1
"Carpentaria",1
"Carrathool",7
"Casey",40
"Cassowary Coast",20
"Ceduna",3
"Central Coast",48
"Central Coast (Tas.)",5
"Central Darling",2
"Central Desert",7
"Central Goldfields",7
"Central Highlands (Qld)",21
"Central Highlands (Tas.)",2
"Cessnock",25
"Chapman Valley",2
"Charles Sturt",13
"Charters Towers",17
"Chittering",3
"Circular Head",6
"Clare and Gilbert Valleys",5
"Clarence",9
"Clarence Valley",32
"Cleve",3
"Cloncurry",12
"Cobar",3
"Cockburn",8
"Coffs Harbour",18
"Colac Otway",11
"Collie",3
"Coober Pedy",1
"Cook",10
"Coolamon",3
"Coolgardie",3
"Coomalie",5
"Coonamble",3
"Coorong",9
"Cootamundra-Gundagai",5
"Copper Coast",4
"Corangamite",19
"Corrigin",2
"Cowra",9
"Cranbrook",1
"Croydon",1
"Cuballing",2
"Cue",1
"Cumberland",25
"Cunderdin",1
"Dalwallinu",1
"Dandaragan",5
"Dardanup",7
"Darebin",12
"Darwin",16
"Denmark",2
"Derby-West Kimberley",10
"Derwent Valley",6
"Devonport",6
"Donnybrook-Balingup",9
"Doomadgee",1
"Dorset",3
"Douglas",11
"Dowerin",1
"Dubbo Regional",24
"Dumbleyung",1
"Dundas",4
"Dungog",1
"East Arnhem",3
"East Gippsland",18
"East Pilbara",1
"Elliston",2
"Esperance",5
"Etheridge",3
"Eurobodalla",31
"Fairfield",24
"Federation",16
"Flinders (Qld)",2
"Flinders Ranges",1
"Forbes",7
"Franklin Harbour",1
"Frankston",19
"Fraser Coast",43
"Fremantle",2
"Gannawarra",4
"Gawler",4
"George Town",2
"Georges River",16
"Gilgandra",3
"Gingin",5
"Gladstone",29
"Glamorgan-Spring Bay",2
"Glen Eira",8
"Glen Innes Severn",8
"Glenelg",12
"Glenorchy",9
"Gnowangerup",1
"Gold Coast",85
"Golden Plains",12
"Goondiwindi",6
"Gosnells",7
"Goulburn Mulwaree",17
"Goyder",3
"Grant",9
"Greater Bendigo",28
"Greater Dandenong",17
"Greater Geelong",45
"Greater Geraldton",8
"Greater Hume",17
"Greater Shepparton",29
"Griffith",6
"Gunnedah",6
"Gwydir",3
"Gympie",44
"Halls Creek",3
"Harvey",11
"Hawkesbury",15
"Hay",3
"Hepburn",17
"Hilltops",11
"Hinchinbrook",4
"Hindmarsh",1
"Hobart",6
"Hobsons Bay",10
"Holdfast Bay",4
"Hope Vale",3
"Hornsby",14
"Horsham",14
"Hume",25
"Hunters Hill",2
"Huon Valley",8
"Indigo",11
"Inner West",15
"Inverell",11
"Ipswich",38
"Irwin",2
"Isaac",29
"Jerramungup",2
"Joondalup",7
"Junee",6
"Kalamunda",3
"Kalgoorlie-Boulder",11
"Kangaroo Island",6
"Karoonda East Murray",2
"Karratha",2
"Katanning",1
"Katherine",4
"Kempsey",15
"Kent",1
"Kentish",2
"Kiama",1
"Kimba",1
"King Island",2
"Kingborough",6
