STATE_NAME,Remoteness,CountCrash
Australian Capital Territory,Inner Regional Australia,3
Australian Capital Territory,Major Cities of Australia,31
New South Wales,Inner Regional Australia,586
New South Wales,Major Cities of Australia,557
New South Wales,Outer Regional Australia,347
New South Wales,Remote Australia,35
New South Wales,Very Remote Australia,12
Northern Territory,Outer Regional Australia,61
Northern Territory,Remote Australia,36
Northern Territory,Very Remote Australia,59
Queensland,Inner Regional Australia,418
Queensland,Major Cities of Australia,423
Queensland,Outer Regional Australia,341
Queensland,Remote Australia,91
Queensland,Very Remote Australia,55
South Australia,Inner Regional Australia,125
South Australia,Major Cities of Australia,179
South Australia,Outer Regional Australia,131
South Australia,Remote Australia,27
South Australia,Very Remote Australia,30
Tasmania,Inner Regional Australia,67
Tasmania,Outer Regional Australia,111
Tasmania,Remote Australia,6
Tasmania,Very Remote Australia,2
Victoria,Inner Regional Australia,453
Victoria,Major Cities of Australia,513
Victoria,Outer Regional Australia,151
Victoria,Remote Australia,3
Western Australia,Inner Regional Australia,116
Western Australia,Major Cities of Australia,148
Western Australia,Outer Regional Australia,84
Western Australia,Remote Australia,39
Western Australia,Very Remote Australia,51
