"STATE_NAME","Year","Month","Count_of_Crash"
"Australian Capital Territory",2019,1,1
"Australian Capital Territory",2019,6,1
"Australian Capital Territory",2019,9,1
"Australian Capital Territory",2019,10,1
"Australian Capital Territory",2019,12,1
"Australian Capital Territory",2020,4,2
"Australian Capital Territory",2020,7,1
"Australian Capital Territory",2020,9,2
"Australian Capital Territory",2021,1,1
"Australian Capital Territory",2021,2,1
"Australian Capital Territory",2021,3,1
"Australian Capital Territory",2021,4,1
"Australian Capital Territory",2021,6,1
"Australian Capital Territory",2022,1,1
"Australian Capital Territory",2022,2,1
"Australian Capital Territory",2022,4,2
"Australian Capital Territory",2022,5,4
"Australian Capital Territory",2022,6,1
"Australian Capital Territory",2022,8,1
"Australian Capital Territory",2022,10,6
"Australian Capital Territory",2023,1,1
"Australian Capital Territory",2023,7,1
"Australian Capital Territory",2023,12,1
"New South Wales",2019,1,38
"New South Wales",2019,2,28
"New South Wales",2019,3,41
"New South Wales",2019,4,28
"New South Wales",2019,5,20
"New South Wales",2019,6,26
"New South Wales",2019,7,23
"New South Wales",2019,8,31
"New South Wales",2019,9,33
"New South Wales",2019,10,29
"New South Wales",2019,11,27
"New South Wales",2019,12,29
"New South Wales",2020,1,23
"New South Wales",2020,2,30
"New South Wales",2020,3,24
"New South Wales",2020,4,23
"New South Wales",2020,5,20
"New South Wales",2020,6,22
"New South Wales",2020,7,24
"New South Wales",2020,8,26
"New South Wales",2020,9,29
"New South Wales",2020,10,17
"New South Wales",2020,11,24
"New South Wales",2020,12,22
"New South Wales",2021,1,24
"New South Wales",2021,2,26
"New South Wales",2021,3,20
"New South Wales",2021,4,25
"New South Wales",2021,5,21
"New South Wales",2021,6,29
"New South Wales",2021,7,18
"New South Wales",2021,8,16
"New South Wales",2021,9,16
"New South Wales",2021,10,26
"New South Wales",2021,11,22
"New South Wales",2021,12,32
"New South Wales",2022,1,27
"New South Wales",2022,2,26
"New South Wales",2022,3,28
"New South Wales",2022,4,27
"New South Wales",2022,5,21
"New South Wales",2022,6,20
"New South Wales",2022,7,12
"New South Wales",2022,8,15
"New South Wales",2022,9,33
"New South Wales",2022,10,20
"New South Wales",2022,11,24
"New South Wales",2022,12,27
"New South Wales",2023,1,20
"New South Wales",2023,2,20
"New South Wales",2023,3,34
"New South Wales",2023,4,33
"New South Wales",2023,5,20
"New South Wales",2023,6,32
"New South Wales",2023,7,32
"New South Wales",2023,8,28
"New South Wales",2023,9,33
"New South Wales",2023,10,27
"New South Wales",2023,11,33
"New South Wales",2023,12,33
"Northern Territory",2019,1,5
"Northern Territory",2019,2,1
"Northern Territory",2019,3,1
"Northern Territory",2019,4,3
"Northern Territory",2019,5,3
"Northern Territory",2019,6,2
"Northern Territory",2019,7,4
"Northern Territory",2019,8,3
"Northern Territory",2019,9,1
